rentrée;Rentrée universitaire;Niveau géographique;Unité géographique;regroupement;Regroupements de formations ou d’établissements;secteur;Secteur de l’établissement d’inscription;sexe;Sexe de l’étudiant;Nombre total d’étudiants inscrits;A des effectifs en formations de DUT;Nombre d’étudiants inscrits en DUT;A des effectifs en formations d'ingénieurs;Nombre d’étudiants inscrits dans les formations d’Ingénieur;diffusable;Données diffusables;secret;Données soumises au secret statistique;niveau_geo;Identifiant de l’unité géographique;Identifiant de la région;Identifiant de l'académie;Identifiant du département;Identifiant de l'unité urbaine
2001;2001-02;Académie;Rennes;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;1;Masculin;674.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2001;2001-02;Académie;Rennes;EC_JUR;Écoles juridiques et administratives;PU;Établissements publics;1;Masculin;743.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2001;2001-02;Académie;Rennes;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;2299.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2001;2001-02;Académie;Rennes;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;3787.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2002;2002-03;Commune;Rennes;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;2;Feminin;580.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2002;2002-03;Commune;Rennes;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;1;Masculin;518.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2002;2002-03;Commune;Rennes;EC_JUR;Écoles juridiques et administratives;PR;Établissements privés;1;Masculin;94.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2002;2002-03;Commune;Rennes;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;1329.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2002;2002-03;Commune;Rennes;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;1;Masculin;116.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2002;2002-03;Commune;Rennes;ING_autres;Autres formations d'ingénieurs;PU;Établissements publics;2;Feminin;790.0;non;;oui;790.0;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2002;2002-03;Commune;Rennes;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;28469.0;oui;552;oui;824.0;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2002;2002-03;Commune;Rennes;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;3167.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2002;2002-03;Commune;Rennes;UNIV;Universités;PU;Établissements publics;2;Feminin;24094.0;oui;552;oui;34.0;oui;Données diffusables;non;Autres données;COMMUNE;35238;R53;A14;D035;UU35701
2002;2002-03;Académie;Rennes;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;1;Masculin;511.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2002;2002-03;Académie;Rennes;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;2;Feminin;337.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2002;2002-03;Académie;Rennes;ENS;Écoles normales supérieures (ENS);PU;Établissements publics;2;Feminin;57.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2002;2002-03;Académie;Rennes;ENS;Écoles normales supérieures (ENS);PU;Établissements publics;1;Masculin;163.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2002;2002-03;Académie;Rennes;EPEU;Etablissements d'enseignement universitaire privés;PR;Établissements privés;1;Masculin;309.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2002;2002-03;Académie;Rennes;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;3599.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2002;2002-03;Académie;Rennes;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;3770.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A14;R53;A14;;
2002;2002-03;Unité urbaine;Rennes;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;1;Masculin;657.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU35701;R53;;;UU35701
2002;2002-03;Unité urbaine;Rennes;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;2;Feminin;580.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU35701;R53;;;UU35701
